AC	ID	DE	AU	SE	SS	GA	TC	NC	TP	BM	CB	SM	DR	RN	RM	RT	RA	RL	WK	SQ	CC	PI	CL	**
RF01703	Dictyoglomi-1	Dictyoglomi-1 RNA	Yang J;Weinberg Z; 0000-0002-6681-3624	Published; PMID:20230605;	Published; PMID:20230605;	150.00	220.90	68.90	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000655; ncRNA;	[1]	20230605	Comparative genomics reveals 104 candidate structured RNAs from bacteria,;archaea and their metagenomes.	Weinberg Z, Wang JX, Bogue J, Yang J, Corbino K, Moy RH, Breaker RR	Genome Biol. 2010;11:R31.	Dictyoglomi-1_RNA_motif	4				
RF04271	mir-1244	mir-1244 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	105.40	105.40	105.30	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000569;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	8	This family represents the microRNA (miRNA) precursor mir-1244 imported;from miRBase.			
RF03868	mir-H2	mir-H2 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	92.00	92.00	58.70	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001214;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-H2 imported from;miRBase.			
RF03054	Xanthine	Xanthine riboswitch (NMT1 RNA)	Weinberg Z; 0000-0002-6681-3624;Ontiveros-Palacios N; 0000-0001-8457-4455	Weinberg Z	Published; PMID:28977401;	36.00	36.70	35.60	Cis-reg;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	SO; 0005836; regulatory_region;;GO; 0002060; purine nucleobase binding;	[1];[2];[3]	28977401;32345632;34125892	Detection of 224 candidate structured RNAs by comparative analysis of;specific subsets of intergenic regions.;A bacterial riboswitch class senses xanthine and uric acid to regulate;genes associated with purine oxidation.;Insights into xanthine riboswitch structure and metal ion-mediated ligand;recognition.	Weinberg Z, Lunse CE, Corbino KA, Ames TD, Nelson JW, Roth A, Perkins KR,;Sherlock ME, Breaker RR;Yu D, Breaker RR;Xu X, Egger M, Chen H, Bartosik K, Micura R, Ren A	Nucleic Acids Res. 2017;45:10811-10823.;RNA. 2020;26:960-968.;Nucleic Acids Res. 2021;49:7139-7153.	NMT1_RNA_motif	383	Xanthine riboswitch was first reported in Proteobacteria as NMT1;non-coding RNA (ncRNA) in [1]. Later it was reported as a ncRNA that;recognised Xanthine [2]. More recently the structure of Xanthine;riboswitch was reported in 7ELP, 7ELQ, 7ELR and 7ELS PDBs [3]	NMT1;		
RF02186	ST7-OT3_4	ST7 overlapping transcript 3 conserved region 4	Eberhardt R; 0000-0001-6152-1369	Predicted; CMfinder; Eberhardt R	Predicted; CMfinder;	80.00	92.90	41.70	Gene; lncRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 21.08 -Z 549862.597050 CM SEQDB	SO; 0001463; lincRNA;	[1]	12213198	The RAY1/ST7 tumor-suppressor locus on chromosome 7q31 represents a;complex multi-transcript system.	Vincent JB, Petek E, Thevarkunnel S, Kolozsvari D, Cheung J, Patel M,;Scherer SW	Genomics. 2002;80:283-294.	ST7-OT3	8				
RF03266	mir-2943	mir-2943 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	76.00	76.80	47.60	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001056;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-2943 imported;from miRBase.			
RF01531	TB10Cs3H1	Trypanosomatid snoRNA TB10Cs3H1	Doniger T; 0000-0001-6708-8404;Michaeli S;Unger R;Osuch I	Predicted; WAR;	Predicted; WAR;	40.00	44.10	35.60	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	15840815	A genome-wide analysis of C/D and H/ACA-like small nucleolar RNAs in;Trypanosoma brucei reveals a trypanosome-specific pattern of rRNA;modification.	Liang XH, Uliel S, Hury A, Barth S, Doniger T, Unger R, Michaeli S	RNA. 2005;11:619-645.	Trypanosome_H/ACA_box_snoRNAs	4				
RF04043	mir-2062	mir-2062 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	90.00	97.90	48.40	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001753;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-2062 imported;from miRBase.			
RF03602	mir-8250	mir-8250 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	80.00	83.10	37.40	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0002067;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	4	This family represents the microRNA (miRNA) precursor mir-8250 imported;from miRBase.			
RF00087	SNORD26	Small nucleolar RNA SNORD26	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR, INFERNAL	Predicted; PFOLD; Griffiths-Jones SR	44.00	45.50	43.30	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0001263; ncRNA_gene;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;;snoopy; Mus_musculus300710;;snoopy; Oryctolagus_cuniculus300341;	[1];[2]	8559254;8962077	A mammalian gene with introns instead of exons generating stable RNA;products.;A small nucleolar RNA requirement for site-specific ribose methylation of;rRNA in Xenopus.	Tycowski KT, Shu MD, Steitz JA;Tycowski KT, Smith CM, Shu MD, Steitz JA	Nature 1996;379:464-466.;Proc Natl Acad Sci U S A 1996;93:14480-14485.	Small_nucleolar_RNA_SNORD26	17	U26 is a member of the C/D class of snoRNA which contain the C (UGAUGA);and D (CUGA) box motifs. U26 is encoded within the U22 snoRNA host gene;(UHG) in mammals [1] and is thought to act as a 2'-O-ribose methylation;guide for ribosomal RNA.	U26	CL00050	
